ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,14 ,RabobankBasisvoorwaarden,2.95,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,15 ,RabobankBasisvoorwaarden,2.35,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,15 ,RabobankBasisvoorwaarden,2.75,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,15 ,RabobankBasisvoorwaarden,3.05,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,20 ,RabobankBasisvoorwaarden,2.55,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,20 ,RabobankBasisvoorwaarden,2.95,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,20 ,RabobankBasisvoorwaarden,3.25,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,25 ,RabobankBasisvoorwaarden,3.05,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,25 ,RabobankBasisvoorwaarden,3.45,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,25 ,RabobankBasisvoorwaarden,3.75,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,30 ,RabobankBasisvoorwaarden,3.35,67.5,0,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,30 ,RabobankBasisvoorwaarden,3.75,90,68.5,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,30 ,RabobankBasisvoorwaarden,4.05,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,1 ,RabobankPlusvoorwaarden,2.15,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,2 ,RabobankPlusvoorwaarden,2.25,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,3 ,RabobankPlusvoorwaarden,2.45,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,4 ,RabobankPlusvoorwaarden,2.45,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,5 ,RabobankPlusvoorwaarden,2.55,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,6 ,RabobankPlusvoorwaarden,2.55,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,7 ,RabobankPlusvoorwaarden,2.55,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,8 ,RabobankPlusvoorwaarden,2.65,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,9 ,RabobankPlusvoorwaarden,2.65,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,10 ,RabobankPlusvoorwaarden,2.65,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,11 ,RabobankPlusvoorwaarden,2.85,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,12 ,RabobankPlusvoorwaarden,2.95,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,13 ,RabobankPlusvoorwaarden,3.05,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,14 ,RabobankPlusvoorwaarden,3.15,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,15 ,RabobankPlusvoorwaarden,3.25,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,20 ,RabobankPlusvoorwaarden,3.45,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,25 ,RabobankPlusvoorwaarden,3.95,,91,2017-10-30
Rabobank,N,NL,Annuiteitenhypotheek,2017-09-18,30 ,RabobankPlusvoorwaarden,4.25,,91,2017-10-30
